Video	Keyword	Resource
		
Video_96		
	Modelo matemático	http://pt.dbpedia.org/resource/Modelo_(matem%C3%A1tica)
	Análise de sistemas	http://pt.dbpedia.org/resource/An%C3%A1lise_de_sistemas
	Informática	http://pt.dbpedia.org/resource/Inform%C3%A1tica
	Programador	http://pt.dbpedia.org/resource/Programador
	Analista de Sistemas	http://pt.dbpedia.org/resource/Analista_de_sistemas
	UML	http://pt.dbpedia.org/resource/UML
	Modelo Relacional	http://pt.dbpedia.org/resource/Modelo_relacional
	Modelagem	http://pt.dbpedia.org/resource/Modelagem_de_dados
	Orientação a Objetos	http://pt.dbpedia.org/resource/Orienta%C3%A7%C3%A3o_a_objetos
		
Video_146		
	Moodle	http://pt.dbpedia.org/resource/Moodle
	Perfil	http://pt.dbpedia.org/resource/Perfil_(comunidade)
	Ambiente virtual de aprendizagem	http://pt.dbpedia.org/resource/Ambiente_virtual_de_aprendizagem
		
Video_178		
	Videoaula	http://pt.dbpedia.org/resource/Videoaula
	RNP	http://pt.dbpedia.org/resource/Rede_Nacional_de_Ensino_e_Pesquisa
	Slides	http://pt.dbpedia.org/resource/Diapositivo
	Treinamento	http://pt.dbpedia.org/resource/Treinamento
	Gravações	http://pt.dbpedia.org/resource/Grava%C3%A7%C3%A3o
Video_260		
	Modelagem	http://pt.dbpedia.org/resource/Modelagem
		
Video_262		
	Cookies	http://pt.dbpedia.org/resource/Cookie_HTTP
	JavaScript	http://pt.dbpedia.org/resource/JavaScript
	String	http://pt.dbpedia.org/resource/Cadeia_de_caracteres
	Palavras reservadas	http://pt.dbpedia.org/resource/Palavra_reservada
	HTTPS	http://pt.dbpedia.org/resource/Hyper_Text_Transfer_Protocol_Secure
	Variável	http://pt.dbpedia.org/resource/Vari%C3%A1vel_(programa%C3%A7%C3%A3o)
	Atributos	http://pt.dbpedia.org/resource/Atributo_(programa%C3%A7%C3%A3o)
		
Video_288		
	Compostos orgânico	http://pt.dbpedia.org/resource/Composto_orgânico
	Ligações químicas	http://pt.dbpedia.org/resource/Liga%C3%A7%C3%A3o_qu%C3%ADmica
	Ligações iônicas	http://pt.dbpedia.org/resource/Liga%C3%A7%C3%A3o_i%C3%B4nica
	Ligações covalentes	http://pt.dbpedia.org/resource/Liga%C3%A7%C3%A3o_covalente
	Elementos	http://pt.dbpedia.org/resource/Elementos_qu%C3%ADmicos
	Elétrons	http://pt.dbpedia.org/resource/El%C3%A9tron
	Camada de valência	http://pt.dbpedia.org/resource/Camada_de_val%C3%AAncia
	Compostos iônicos	http://pt.dbpedia.org/resource/Composto_i%C3%B4nico
	Regra do octeto	http://pt.dbpedia.org/resource/Regra_do_octeto
	Carbono	http://pt.dbpedia.org/resource/Carbono
	Átomos	http://pt.dbpedia.org/resource/%C3%81tomo
	Metais	http://pt.dbpedia.org/resource/Metal
	Eletronegativade	http://pt.dbpedia.org/resource/Eletronegatividade
	Ligações sigma	http://pt.dbpedia.org/resource/Liga%C3%A7%C3%A3o_sigma
	Organometalicos	http://pt.dbpedia.org/resource/Qu%C3%ADmica_organomet%C3%A1lica
		
Video_350		
	Rede Nacional de Ensino e Pesquisa	http://pt.dbpedia.org/resource/Rede_Nacional_de_Ensino_e_Pesquisa
	Videoaulas	http://pt.dbpedia.org/resource/Videoaula
		
Video_352		
	Rede Nacional de Ensino e Pesquisa	http://pt.dbpedia.org/resource/Rede_Nacional_de_Ensino_e_Pesquisa
	Videoaula	http://pt.dbpedia.org/resource/Videoaula
	Servidor web	http://pt.dbpedia.org/resource/Servidor_web
	Navegador	http://pt.dbpedia.org/resource/Navegador
	Clusters	http://pt.dbpedia.org/resource/Cluster
		
Video_354		
	Workshop	http://pt.dbpedia.org/resource/Workshop
	Palestra	http://pt.dbpedia.org/resource/Palestra
	Universidade	http://pt.dbpedia.org/resource/Universidade
	Coppe	http://pt.dbpedia.org/resource/Instituto_Alberto_Luiz_Coimbra_de_P%C3%B3s-Gradua%C3%A7%C3%A3o_e_Pesquisa_em_Engenharia
		
Video_364		
	Modelo de entidade relacionamento	http://pt.dbpedia.org/resource/Modelo_entidade_relacionamento
	Herança	http://pt.dbpedia.org/resource/Heran%C3%A7a_(programa%C3%A7%C3%A3o)
	Atributos	http://pt.dbpedia.org/resource/Atributo_(programa%C3%A7%C3%A3o)
	Entidades	http://pt.dbpedia.org/resource/Entidade
		
Video_370		
	Modelo entidade relacionamento	http://pt.dbpedia.org/resource/Modelo_entidade_relacionamento
	Entidades	http://pt.dbpedia.org/resource/Entidade_(inform%C3%A1tica)
	Diagrama	http://pt.dbpedia.org/resource/Diagrama
		
Video_396		
